# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_memory_vs_threads (figure)
# result set: current
# commit:     18d0f83627b5
# host:       galaxy
# measured:   2026-09-12
# inputs:     sha256:152df922eb144f3f
# provenance: paper/generated/PROVENANCE.md#fig_memory_vs_threads
benchmark	threads	peak_rss_gb
B01	1	2.661
B01	2	1.923
B01	4	1.965
B01	8	1.971
B01	16	2.098
B01	32	2.413
B01	64	2.874
B02	1	2.661
B02	2	1.881
B02	4	1.931
B02	8	1.973
B02	16	2.153
B02	32	2.402
B02	64	2.847
B03	1	2.651
B03	2	1.918
B03	4	2.035
B03	8	2.149
B03	16	2.494
B03	32	3.261
B03	64	4.61
B04	1	2.651
B04	2	1.906
B04	4	2.04
B04	8	2.206
B04	16	2.513
B04	32	6.853
B04	64	10.565
B05	1	2.548
B05	2	1.878
B05	4	2.048
B05	8	2.079
B05	16	2.186
B05	32	2.624
B05	64	3.236
B06	32	17.156
B07	32	17.171
B08	32	17.151
B09	32	17.123
cpp-shmap		18.845
