# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_stage_breakdown (figure)
# result set: current
# commit:     18d0f83627b5
# host:       galaxy
# measured:   2026-09-12
# inputs:     sha256:f9529abbd784055c
# provenance: paper/generated/PROVENANCE.md#fig_stage_breakdown
benchmark	metric	stage	share_pct	query_mapping_s
B01	Containment	match_seeds	24.93	34.85
B01	Containment	match_rest	32.29	34.85
B01	Containment	prepare	21.01	34.85
B01	Containment	sketching	19.06	34.85
B01	Containment	bucket_merge	2.43	34.85
B01	Jaccard	match_seeds	17.68	49.77
B01	Jaccard	match_rest	52.11	49.77
B01	Jaccard	prepare	14.88	49.77
B01	Jaccard	sketching	13.39	49.77
B01	Jaccard	bucket_merge	1.75	49.77
B01	bucket_SH	match_seeds	32.54	26.9
B01	bucket_SH	match_rest	10.71	26.9
B01	bucket_SH	prepare	28.32	26.9
B01	bucket_SH	sketching	24.86	26.9
B01	bucket_SH	bucket_merge	3.2	26.9
B02	Containment	match_seeds	29.45	27.02
B02	Containment	match_rest	22.71	27.02
B02	Containment	prepare	23.49	27.02
B02	Containment	sketching	21.26	27.02
B02	Containment	bucket_merge	2.79	27.02
B02	Jaccard	match_seeds	18.78	43.22
B02	Jaccard	match_rest	50.97	43.22
B02	Jaccard	prepare	15.03	43.22
B02	Jaccard	sketching	13.29	43.22
B02	Jaccard	bucket_merge	1.75	43.22
B02	bucket_SH	match_seeds	34.33	22.99
B02	bucket_SH	match_rest	10.06	22.99
B02	bucket_SH	prepare	26.97	22.99
B02	bucket_SH	sketching	25.07	22.99
B02	bucket_SH	bucket_merge	3.22	22.99
B03	Containment	match_seeds	41.12	45.87
B03	Containment	match_rest	26.05	45.87
B03	Containment	prepare	15.07	45.87
B03	Containment	sketching	13.18	45.87
B03	Containment	bucket_merge	4.27	45.87
B03	Jaccard	match_seeds	30.77	61.91
B03	Jaccard	match_rest	44.61	61.91
B03	Jaccard	prepare	11.32	61.91
B03	Jaccard	sketching	9.85	61.91
B03	Jaccard	bucket_merge	3.21	61.91
B03	bucket_SH	match_seeds	51.05	37.09
B03	bucket_SH	match_rest	7.87	37.09
B03	bucket_SH	prepare	18.89	37.09
B03	bucket_SH	sketching	16.46	37.09
B03	bucket_SH	bucket_merge	5.33	37.09
B04	Containment	match_seeds	40.77	462.61
B04	Containment	match_rest	26.62	462.61
B04	Containment	prepare	14.97	462.61
B04	Containment	sketching	13.12	462.61
B04	Containment	bucket_merge	4.21	462.61
B04	Jaccard	match_seeds	30.03	632.32
B04	Jaccard	match_rest	45.88	632.32
B04	Jaccard	prepare	11.11	632.32
B04	Jaccard	sketching	9.64	632.32
B04	Jaccard	bucket_merge	3.11	632.32
B04	bucket_SH	match_seeds	51.18	367.5
B04	bucket_SH	match_rest	7.78	367.5
B04	bucket_SH	prepare	18.79	367.5
B04	bucket_SH	sketching	16.56	367.5
B04	bucket_SH	bucket_merge	5.3	367.5
B05	Containment	match_seeds	11.67	12.25
B05	Containment	match_rest	14.66	12.25
B05	Containment	prepare	34.95	12.25
B05	Containment	sketching	36.43	12.25
B05	Containment	bucket_merge	1.81	12.25
B05	Jaccard	match_seeds	9.07	16.04
B05	Jaccard	match_rest	34.1	16.04
B05	Jaccard	prepare	27.12	16.04
B05	Jaccard	sketching	27.95	16.04
B05	Jaccard	bucket_merge	1.4	16.04
B05	bucket_SH	match_seeds	12.74	11.4
B05	bucket_SH	match_rest	6.84	11.4
B05	bucket_SH	prepare	38.57	11.4
B05	bucket_SH	sketching	39.38	11.4
B05	bucket_SH	bucket_merge	1.97	11.4
