# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_thread_scaling (figure)
# result set: current
# commit:     18d0f83627b5
# host:       galaxy
# measured:   2026-09-12
# inputs:     sha256:41e718b1bbefe8cb
# provenance: paper/generated/PROVENANCE.md#fig_thread_scaling
benchmark	threads	wall_s	speedup_vs_1
B01	1	44.41	1.0
B01	2	25.06	1.77
B01	4	13.24	3.35
B01	8	7.23	6.14
B01	16	4.42	10.05
B01	32	3.43	12.95
B01	64	3.43	12.95
B02	1	36.21	1.0
B02	2	21.05	1.72
B02	4	11.03	3.28
B02	8	6.03	6.0
B02	16	4.0	9.05
B02	32	3.21	11.28
B02	64	3.42	10.59
B03	1	56.83	1.0
B03	2	31.47	1.81
B03	4	16.23	3.5
B03	8	8.61	6.6
B03	16	5.21	10.91
B03	32	4.22	13.47
B03	64	4.24	13.4
B04	1	509.71	1.0
B04	2	259.79	1.96
B04	4	129.99	3.92
B04	8	65.48	7.78
B04	16	34.08	14.96
B04	32	24.29	20.98
B04	64	23.27	21.9
B05	1	20.58	1.0
B05	2	13.23	1.56
B05	4	7.23	2.85
B05	8	4.0	5.14
B05	16	3.0	6.86
B05	32	3.03	6.79
B05	64	2.8	7.35
