# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_time_vs_matches (figure)
# result set: current
# commit:     18d0f83627b5
# host:       galaxy
# measured:   2026-09-12
# inputs:     sha256:41e718b1bbefe8cb
# provenance: paper/generated/PROVENANCE.md#fig_time_vs_matches
benchmark	bin	n_reads	matches_median	time_median_us	time_q1_us	time_q3_us
B01	3	2655	139.0	131.04	125.8	138.52
B01	4	9610	176.0	147.68	138.92	159.24
B01	5	1063	289.0	195.4	177.56	220.28
B01	6	377	522.0	260.88	209.96	331.96
B01	7	212	842.0	306.68	248.92	452.16
B01	8	132	1421.0	357.52	292.36	673.72
B01	9	98	2259.0	409.84	306.44	736.56
B01	10	50	3790.0	443.72	298.6	782.96
B01	11	29	6033.0	435.8	289.04	1026.8
B01	12	75	10445.0	559.52	361.2	825.6
B01	13	85	18116.0	874.96	571.8	1579.96
B01	14	171	28197.0	1001.36	614.68	1752.65
B01	15	217	47346.0	1099.92	811.52	1875.13
B01	16	86	71797.0	2394.37	1261.0	4731.73
B01	17	73	128791.0	1441.6	1348.56	1864.33
B01	fit	15		531.116	0.7015	0.6479
B02	0	3084	143.0	139.16	134.04	146.52
B02	1	6841	174.0	155.4	147.44	165.68
B02	2	986	259.0	190.72	178.2	204.52
B02	3	358	399.0	245.76	211.96	281.72
B02	4	213	597.0	268.52	220.36	347.88
B02	5	127	895.0	317.08	260.84	495.28
B02	6	101	1341.0	343.24	263.64	602.04
B02	7	68	1997.0	356.4	253.2	496.08
B02	8	30	2993.0	336.6	247.84	556.08
B02	9	31	4753.0	369.12	270.48	557.68
B02	11	39	10240.0	285.6	236.88	402.6
B02	12	50	14620.0	331.2	300.6	378.48
B02	13	78	24023.0	554.08	443.0	1109.24
B02	14	159	34609.0	662.68	518.24	941.72
B02	15	198	49465.0	867.04	646.16	1067.44
B02	16	51	69990.0	1224.52	1107.84	1896.21
B02	17	72	124348.0	1370.32	1321.92	1591.92
B02	fit	17		315.749	0.7005	0.9212
B03	3	394	61.0	68.68	65.04	74.12
B03	4	16025	91.0	81.44	75.56	87.92
B03	5	4332	130.0	103.56	94.92	116.88
B03	6	922	249.0	180.04	139.36	228.24
B03	7	582	450.0	289.88	177.48	435.64
B03	8	353	790.0	536.28	231.6	815.4
B03	9	227	1342.0	723.92	269.4	1275.72
B03	10	136	2311.0	1269.84	254.28	1777.49
B03	11	89	3934.0	1473.84	364.8	2472.17
B03	12	109	7786.0	746.96	281.08	2744.69
B03	13	220	13308.0	935.16	624.12	1617.61
B03	14	256	21399.0	953.36	616.4	1582.88
B03	15	337	40562.0	1026.64	706.56	1580.85
B03	16	141	60435.0	1481.41	1116.0	2577.93
B03	17	83	123489.0	1568.97	1399.53	1788.25
B03	fit	15		440.499	0.7703	0.4052
B05	1	64	2.0	92.16	83.16	99.6
B05	2	115	5.0	93.56	83.48	102.56
B05	3	172	9.0	95.36	84.64	102.08
B05	4	434	17.0	96.28	86.52	105.72
B05	5	924	31.0	97.28	88.72	108.16
B05	6	2525	57.0	113.56	102.84	124.88
B05	7	3159	92.0	141.0	129.64	153.56
B05	8	420	151.0	169.92	155.96	183.6
B05	9	85	309.0	217.76	189.36	253.16
B05	10	34	582.0	221.6	184.56	286.16
B05	11	30	1052.0	232.8	169.4	344.72
B05	14	33	6315.0	365.56	307.32	582.32
B05	15	33	12982.0	486.6	363.68	748.04
B05	16	37	22138.0	656.12	456.04	1486.32
B05	fit	14		121.467	0.8134	0.916
