# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_wall_vs_threads (figure)
# result set: current
# commit:     18d0f83627b5
# host:       galaxy
# measured:   2026-09-12
# inputs:     sha256:152df922eb144f3f
# provenance: paper/generated/PROVENANCE.md#fig_wall_vs_threads
benchmark	threads	wall_s
B01	1	44.41
B01	2	25.06
B01	4	13.24
B01	8	7.23
B01	16	4.42
B01	32	3.43
B01	64	3.43
B02	1	36.21
B02	2	21.05
B02	4	11.03
B02	8	6.03
B02	16	4.0
B02	32	3.21
B02	64	3.42
B03	1	56.83
B03	2	31.47
B03	4	16.23
B03	8	8.61
B03	16	5.21
B03	32	4.22
B03	64	4.24
B04	1	509.71
B04	2	259.79
B04	4	129.99
B04	8	65.48
B04	16	34.08
B04	32	24.29
B04	64	23.27
B05	1	20.58
B05	2	13.23
B05	4	7.23
B05	8	4.0
B05	16	3.0
B05	32	3.03
B05	64	2.8
B06	32	504.1
B07	32	998.87
B08	32	1737.73
B09	32	248.03
cpp-shmap:B01		103.09
cpp-shmap:B02		87.04
cpp-shmap:B03		112.2
cpp-shmap:B04		902.68
cpp-shmap:B05		51.99
