# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   table_mapper_comparison (table)
# result set: current
# commit:     18d0f83627b5
# host:       galaxy
# measured:   2026-09-12
# inputs:     sha256:152df922eb144f3f
# provenance: paper/generated/PROVENANCE.md#table_mapper_comparison
benchmark	tool	metric	threads	mapped	mapq60	missed_pct	wrong_q60	index_s	map_s	peak_rss_gb
B01	shmap-rs	Containment	1	149194	139309	6.78		6.531	37.47	2.66
B01	shmap-rs	Jaccard	1	146120	138421	7.37		6.5	52.475	2.65
B01	shmap-rs	bucket_SH	1	149236	138250	7.49		6.505	29.737	2.65
B01	cpp-shmap	Containment	1	149194	139309	6.78		25.42	77.67	18.85
B01	cpp-shmap	Jaccard	1	146120	138421	7.37		25.34	105.03	18.85
B01	cpp-shmap	bucket_SH	1	149236	138250	7.49		25.64	61.44	18.85
B01	winnowmap2		32	189022					1493.4	9.83
B02	shmap-rs	Containment	1	125000	117532	5.97	0	6.545	29.23	2.66
B02	shmap-rs	Jaccard	1	125000	119065	4.75	6	6.507	45.481	2.65
B02	shmap-rs	bucket_SH	1	125000	116800	6.56	1	6.509	25.205	2.65
B02	cpp-shmap	Containment	1	125000	117532	5.97		25.55	61.58	18.85
B02	cpp-shmap	Jaccard	1	125000	119065	4.75		25.47	90.24	18.85
B02	cpp-shmap	bucket_SH	1	125000	116802	6.56		25.43	54.99	18.85
B02	winnowmap2		32	129488					1123.8	9.47
B03	shmap-rs	Containment	1	241988	227521	6.19		6.523	49.895	2.65
B03	shmap-rs	Jaccard	1	241262	228887	5.63		6.504	66.001	2.65
B03	shmap-rs	bucket_SH	1	242047	226931	6.43		6.478	41.218	2.65
B03	cpp-shmap	Containment	1	241991	227521	6.19		25.57	86.53	18.85
B03	cpp-shmap	Jaccard	1	241265	228886	5.63		25.68	117.1	18.85
B03	cpp-shmap	bucket_SH	1	242050	226934	6.43		26.06	69.73	18.85
B03	winnowmap2		32	280093					1113.1	8.22
B04	shmap-rs	Containment	1	2419767	2273103	6.28		6.491	502.957	2.65
B04	shmap-rs	Jaccard	1	2411433	2286067	5.74		6.536	673.988	2.66
B04	shmap-rs	bucket_SH	1	2420302	2267208	6.52		6.512	408.026	2.65
B04	cpp-shmap	Containment	1	2419796	2273121	6.28		25.04	877.05	18.85
B04	cpp-shmap	Jaccard	1	2411461	2286083	5.74		25.12	1195.37	18.85
B04	cpp-shmap	bucket_SH	1	2420331	2267238	6.52		25.12	703.13	18.85
B04	winnowmap2		32	2808979					10434.7	8.47
B05	shmap-rs	Containment	1	39608	37839	58.97		6.516	13.64	2.55
B05	shmap-rs	Jaccard	1	5956	5409	94.13		6.532	17.348	2.66
B05	shmap-rs	bucket_SH	1	41115	39226	57.46		6.502	12.84	2.65
B05	cpp-shmap	Containment	1	39608	37839	58.97		25.27	26.72	18.84
B05	cpp-shmap	Jaccard	1	5956	5409	94.13		25.24	31.51	18.85
B05	cpp-shmap	bucket_SH	1	41115	39225	57.47		25.43	24.95	18.85
B05	winnowmap2		32	99107					327.1	6.11
B06	bwa-mem2		32	41807925					565.2	35.66
B07	bwa-mem2		32	83600076					1061.9	35.66
B08	bwa-mem2		32	146287615					1822.8	35.66
B09	bwa-mem2		32	20638443					264.5	24.06
