# GENERATED by benchmarks/scripts/crossarch.py -- do not edit.
# artifact:   fig_crossarch_stages (figure)
# set:        x86_64/current on a2 @ 18d0f83627b5 (2026-09-12)
# set:        aarch64/current on galaxy @ 18d0f83627b5 (2026-09-12)
# reference:  x86_64 (every delta is against this)
# inputs:     sha256:32da7e14ac55e610
# provenance: paper/generated/cross-arch/PROVENANCE.md#fig_crossarch_stages
arch	benchmark	metric	threads	stage	cpu_s	share_pct
x86_64	B01	Containment	1	index: reading	4.29	10.0
x86_64	B01	Containment	1	index: sketching	5.49	12.8
x86_64	B01	Containment	1	index: collecting	3.18	7.4
x86_64	B01	Containment	1	map: sketching	6.06	14.1
x86_64	B01	Containment	1	map: prepare	5.53	12.8
x86_64	B01	Containment	1	map: match_seeds	6.71	15.6
x86_64	B01	Containment	1	map: match_rest	10.72	24.9
x86_64	B01	Containment	1	other (3 stages)	1.02	2.4
aarch64	B01	Containment	1	index: reading	2.73	5.8
aarch64	B01	Containment	1	index: sketching	5.84	12.3
aarch64	B01	Containment	1	index: collecting	3.9	8.2
aarch64	B01	Containment	1	map: sketching	6.64	14.0
aarch64	B01	Containment	1	map: prepare	7.32	15.4
aarch64	B01	Containment	1	map: match_seeds	8.69	18.3
aarch64	B01	Containment	1	map: match_rest	11.26	23.7
aarch64	B01	Containment	1	other (3 stages)	1.04	2.2
