# GENERATED by benchmarks/scripts/crossarch.py -- do not edit.
# artifact:   fig_crossarch_thread_scaling (figure)
# set:        x86_64/current on a2 @ 18d0f83627b5 (2026-09-12)
# set:        aarch64/current on galaxy @ 18d0f83627b5 (2026-09-12)
# reference:  x86_64 (every delta is against this)
# inputs:     sha256:d44635e56d1be819
# provenance: paper/generated/cross-arch/PROVENANCE.md#fig_crossarch_thread_scaling
arch	benchmark	metric	threads	wall_s	speedup_vs_1
x86_64	B01	Containment	1	39.88	1.0
x86_64	B01	Containment	2	26.01	1.53
x86_64	B01	Containment	4	14.4	2.77
x86_64	B01	Containment	8	9.48	4.21
x86_64	B01	Containment	16	6.71	5.94
x86_64	B01	Containment	32	6.52	6.12
x86_64	B01	Containment	64	6.32	6.31
x86_64	B01	Jaccard	1	53.27	1.0
x86_64	B01	Jaccard	2	32.16	1.66
x86_64	B01	Jaccard	4	18.27	2.92
x86_64	B01	Jaccard	8	10.38	5.13
x86_64	B01	Jaccard	16	7.62	6.99
x86_64	B01	Jaccard	32	6.35	8.39
x86_64	B01	Jaccard	64	6.72	7.93
x86_64	B01	bucket_SH	1	32.7	1.0
x86_64	B01	bucket_SH	2	22.2	1.47
x86_64	B01	bucket_SH	4	12.82	2.55
x86_64	B01	bucket_SH	8	8.2	3.99
x86_64	B01	bucket_SH	16	6.73	4.86
x86_64	B01	bucket_SH	32	6.52	5.02
x86_64	B01	bucket_SH	64	6.61	4.95
aarch64	B01	Containment	1	44.41	1.0
aarch64	B01	Containment	2	25.06	1.77
aarch64	B01	Containment	4	13.24	3.35
aarch64	B01	Containment	8	7.23	6.14
aarch64	B01	Containment	16	4.42	10.05
aarch64	B01	Containment	32	3.43	12.95
aarch64	B01	Containment	64	3.43	12.95
aarch64	B01	Jaccard	1	59.43	1.0
aarch64	B01	Jaccard	2	32.48	1.83
aarch64	B01	Jaccard	4	16.84	3.53
aarch64	B01	Jaccard	8	8.81	6.75
aarch64	B01	Jaccard	16	5.43	10.94
aarch64	B01	Jaccard	32	3.81	15.6
aarch64	B01	Jaccard	64	3.62	16.42
aarch64	B01	bucket_SH	1	36.59	1.0
aarch64	B01	bucket_SH	2	20.64	1.77
aarch64	B01	bucket_SH	4	11.05	3.31
aarch64	B01	bucket_SH	8	6.01	6.09
aarch64	B01	bucket_SH	16	4.01	9.12
aarch64	B01	bucket_SH	32	3.41	10.73
aarch64	B01	bucket_SH	64	3.42	10.7
