# GENERATED by benchmarks/scripts/crossarch.py -- do not edit.
# artifact:   table_crossarch_agreement (table)
# set:        x86_64/current on a2 @ 9b9dcd5 (2026-09-07)
# set:        aarch64/current on galaxy @ 9b9dcd5 (2026-09-07)
# reference:  x86_64 (every delta is against this)
# inputs:     sha256:e7e053eec3aa81eb
# provenance: paper/generated/cross-arch/PROVENANCE.md#table_crossarch_agreement
benchmark	metric	mapped	mapq 60	seeded	refined	reported	verdict
B01	Containment	=	=	=	=	=	agree
B01	Jaccard	=	=	=	=	=	agree
B01	bucket_SH	=	=	=	=	=	agree
B02	Containment	=	=	=	=	=	agree
B02	Jaccard	=	=	=	=	=	agree
B02	bucket_SH	=	=	=	=	=	agree
B03	Containment	=	=	=	=	=	agree
B03	Jaccard	=	=	=	=	=	agree
B03	bucket_SH	=	=	=	=	=	agree
B04	Containment	=	=	=	=	=	agree
B04	Jaccard	=	=	=	=	=	agree
B04	bucket_SH	=	=	=	=	=	agree
B05	Containment	=	=	=	=	=	agree
B05	Jaccard	=	=	=	=	=	agree
B05	bucket_SH	=	=	=	=	=	agree
B06	Containment						agree
B07	Containment						agree
B08	Containment						agree
B09	Containment						agree
