# GENERATED by benchmarks/scripts/crossarch.py -- do not edit.
# artifact:   table_crossarch_headline (table)
# set:        x86_64/current on a2 @ 18d0f83627b5 (2026-09-12)
# set:        aarch64/current on galaxy @ 18d0f83627b5 (2026-09-12)
# reference:  x86_64 (every delta is against this)
# inputs:     sha256:32da7e14ac55e610
# provenance: paper/generated/cross-arch/PROVENANCE.md#table_crossarch_headline
benchmark	metric	index_s_x86_64	map_s_x86_64	peak_rss_gb_x86_64	index_s_aarch64	map_s_aarch64	peak_rss_gb_aarch64	map_s_ratio_aarch64_over_x86_64
B01	Containment	7.07	32.32	2.655	6.53	37.47	2.661	1.16
B01	Jaccard	7.03	45.91	2.623	6.5	52.48	2.651	1.14
B01	bucket_SH	7.09	25.07	2.653	6.5	29.74	2.651	1.19
B02	Containment	7.04	25.07	2.573	6.54	29.23	2.661	1.17
B02	Jaccard	6.97	40.45	2.624	6.51	45.48	2.651	1.12
B02	bucket_SH	7.06	21.78	2.603	6.51	25.2	2.651	1.16
B03	Containment	7.09	41.39	2.582	6.52	49.9	2.651	1.21
B03	Jaccard	7.03	55.14	2.654	6.5	66.0	2.653	1.2
B03	bucket_SH	7.11	31.56	2.623	6.48	41.22	2.653	1.31
B04	Containment	7.06	399.36	2.602	6.49	502.96	2.651	1.26
B04	Jaccard	6.95	551.59	2.669	6.54	673.99	2.663	1.22
B04	bucket_SH	7.04	315.63	2.653	6.51	408.03	2.651	1.29
B05	Containment	7.1	14.12	2.6	6.52	13.64	2.548	0.97
B05	Jaccard	7.02	15.13	2.573	6.53	17.35	2.661	1.15
B05	bucket_SH	7.08	11.08	2.622	6.5	12.84	2.651	1.16
B06	Containment							
B07	Containment							
B08	Containment							
B09	Containment							
