# GENERATED by benchmarks/scripts/crossarch.py -- do not edit.
# artifact:   table_crossarch_speedup (table)
# set:        x86_64/current on a2 @ 18d0f83627b5 (2026-09-12)
# set:        aarch64/current on galaxy @ 18d0f83627b5 (2026-09-12)
# reference:  x86_64 (every delta is against this)
# inputs:     sha256:32da7e14ac55e610
# provenance: paper/generated/cross-arch/PROVENANCE.md#table_crossarch_speedup
benchmark	metric	speedup_x86_64	speedup_aarch64	delta
B01	Containment	2.74	2.32	-0.42
B01	Jaccard	2.57	2.19	-0.37
B01	bucket_SH	2.84	2.38	-0.46
B02	Containment	2.58	2.4	-0.18
B02	Jaccard	2.31	2.21	-0.1
B02	bucket_SH	2.65	2.52	-0.13
B03	Containment	2.49	1.97	-0.51
B03	Jaccard	2.39	1.96	-0.43
B03	bucket_SH	2.61	1.98	-0.62
B04	Containment	2.19	1.77	-0.42
B04	Jaccard	2.07	1.79	-0.28
B04	bucket_SH	2.15	1.75	-0.39
B05	Containment	2.63	2.53	-0.11
B05	Jaccard	2.7	2.35	-0.35
B05	bucket_SH	2.95	2.55	-0.41
B06	Containment			
B07	Containment			
B08	Containment			
B09	Containment			
