# GENERATED by benchmarks/scripts/crossarch.py -- do not edit.
# artifact:   table_crossarch_stages (table)
# set:        x86_64/current on a2 @ 18d0f83627b5 (2026-09-12)
# set:        aarch64/current on galaxy @ 18d0f83627b5 (2026-09-12)
# reference:  x86_64 (every delta is against this)
# inputs:     sha256:d44635e56d1be819
# provenance: paper/generated/cross-arch/PROVENANCE.md#table_crossarch_stages
stage	share_x86_64_mean_pct	delta_pp_aarch64_B01	delta_pp_aarch64_B02	delta_pp_aarch64_B03	delta_pp_aarch64_B04	delta_pp_aarch64_B05	delta_pp_aarch64_B06	delta_pp_aarch64_B07	delta_pp_aarch64_B08	delta_pp_aarch64_B09
index: reading	9.7	-4.2	-5.4	-3.8	-0.5	-6.2				
index: sketching	12.3	-0.4	-0.4	-0.9	-0.3	2.5				
index: collecting	7.6	0.8	1.1	-0.1	0.0	1.7				
index: finalizing	0.3	-0.2	0.0	-0.1	0.0	-0.1				
map: sketching	14.0	-0.1	-0.1	-0.5	-2.1	2.5				
map: prepare	14.1	2.6	3.1	-0.4	0.2	-0.7				
map: match_seeds	18.5	2.7	2.5	9.1	8.0	1.5				
map: bucket_merge	2.5	0.0	-0.1	-0.1	-0.6	0.1				
map: match_rest	20.8	-1.2	-0.7	-3.2	-4.7	-1.2				
map: other (unattributed)	0.2	0.0	0.0	0.0	0.0	0.0				
