# GENERATED by benchmarks/paper.py -- do not edit.
# artifact:   fig_stage_breakdown (figure)
# result set: current
# commit:     e9aa9c98a2c7
# host:       a2
# measured:   2026-08-01
# inputs:     sha256:1abb1d51719464e6
# provenance: paper/generated/PROVENANCE.md#fig_stage_breakdown
benchmark	metric	stage	share_pct	query_mapping_s
B01	Containment	match_seeds	21.92	32.07
B01	Containment	match_rest	33.48	32.07
B01	Containment	prepare	21.49	32.07
B01	Containment	sketching	20.14	32.07
B01	Containment	bucket_merge	2.75	32.07
B01	Jaccard	match_seeds	15.83	45.12
B01	Jaccard	match_rest	53.31	45.12
B01	Jaccard	prepare	14.61	45.12
B01	Jaccard	sketching	14.18	45.12
B01	Jaccard	bucket_merge	1.92	45.12
B01	bucket_SH	match_seeds	29.5	23.47
B01	bucket_SH	match_rest	14.41	23.47
B01	bucket_SH	prepare	24.8	23.47
B01	bucket_SH	sketching	27.43	23.47
B01	bucket_SH	bucket_merge	3.58	23.47
B02	Containment	match_seeds	27.4	23.87
B02	Containment	match_rest	24.74	23.87
B02	Containment	prepare	21.42	23.87
B02	Containment	sketching	23.1	23.87
B02	Containment	bucket_merge	3.1	23.87
B02	Jaccard	match_seeds	17.58	38.1
B02	Jaccard	match_rest	52.03	38.1
B02	Jaccard	prepare	13.78	38.1
B02	Jaccard	sketching	14.49	38.1
B02	Jaccard	bucket_merge	1.97	38.1
B02	bucket_SH	match_seeds	31.82	21.46
B02	bucket_SH	match_rest	14.17	21.46
B02	bucket_SH	prepare	23.71	21.46
B02	bucket_SH	sketching	26.38	21.46
B02	bucket_SH	bucket_merge	3.64	21.46
B03	Containment	match_seeds	32.05	39.06
B03	Containment	match_rest	30.61	39.06
B03	Containment	prepare	16.65	39.06
B03	Containment	sketching	15.29	39.06
B03	Containment	bucket_merge	5.12	39.06
B03	Jaccard	match_seeds	23.45	52.26
B03	Jaccard	match_rest	48.83	52.26
B03	Jaccard	prepare	12.74	52.26
B03	Jaccard	sketching	11.08	52.26
B03	Jaccard	bucket_merge	3.69	52.26
B03	bucket_SH	match_seeds	41.08	28.94
B03	bucket_SH	match_rest	12.05	28.94
B03	bucket_SH	prepare	20.06	28.94
B03	bucket_SH	sketching	19.96	28.94
B03	bucket_SH	bucket_merge	6.49	28.94
B04	Containment	match_seeds	32.5	378.88
B04	Containment	match_rest	30.95	378.88
B04	Containment	prepare	15.48	378.88
B04	Containment	sketching	15.68	378.88
B04	Containment	bucket_merge	5.11	378.88
B04	Jaccard	match_seeds	23.49	533.51
B04	Jaccard	match_rest	50.47	533.51
B04	Jaccard	prepare	11.04	533.51
B04	Jaccard	sketching	11.09	533.51
B04	Jaccard	bucket_merge	3.7	533.51
B04	bucket_SH	match_seeds	41.87	293.97
B04	bucket_SH	match_rest	11.35	293.97
B04	bucket_SH	prepare	19.65	293.97
B04	bucket_SH	sketching	20.25	293.97
B04	bucket_SH	bucket_merge	6.51	293.97
B05	Containment	match_seeds	9.45	11.15
B05	Containment	match_rest	17.33	11.15
B05	Containment	prepare	32.11	11.15
B05	Containment	sketching	38.6	11.15
B05	Containment	bucket_merge	2.16	11.15
B05	Jaccard	match_seeds	7.8	14.33
B05	Jaccard	match_rest	35.79	14.33
B05	Jaccard	prepare	25.17	14.33
B05	Jaccard	sketching	29.26	14.33
B05	Jaccard	bucket_merge	1.71	14.33
B05	bucket_SH	match_seeds	10.21	10.35
B05	bucket_SH	match_rest	9.94	10.35
B05	bucket_SH	prepare	35.73	10.35
B05	bucket_SH	sketching	41.34	10.35
B05	bucket_SH	bucket_merge	2.38	10.35
