# GENERATED by benchmarks/paper.py -- do not edit.
# artifact:   fig_thread_scaling (figure)
# result set: current
# commit:     e9aa9c98a2c7
# host:       a2
# measured:   2026-08-01
# inputs:     sha256:1abb1d51719464e6
# provenance: paper/generated/PROVENANCE.md#fig_thread_scaling
benchmark	threads	wall_s	speedup_vs_1
B01	1	42.69	1.0
B01	2	26.84	1.59
B01	4	16.27	2.62
B01	8	10.69	3.99
B01	16	7.28	5.86
B01	32	6.13	6.96
B01	64	6.95	6.14
B02	1	33.87	1.0
B02	2	22.42	1.51
B02	4	13.7	2.47
B02	8	8.88	3.81
B02	16	6.31	5.37
B02	32	6.11	5.54
B02	64	6.53	5.19
B03	1	50.48	1.0
B03	2	30.54	1.65
B03	4	17.23	2.93
B03	8	10.71	4.71
B03	16	7.3	6.92
B03	32	8.12	6.22
B03	64	7.33	6.89
B04	1	422.15	1.0
B04	2	223.24	1.89
B04	4	127.88	3.3
B04	8	66.79	6.32
B04	16	36.59	11.54
B04	32	31.58	13.37
B04	64	33.96	12.43
B05	1	20.29	1.0
B05	2	14.19	1.43
B05	4	9.07	2.24
B05	8	6.31	3.22
B05	16	5.3	3.83
B05	32	6.08	3.34
B05	64	6.15	3.3
