# GENERATED by benchmarks/paper.py -- do not edit.
# artifact:   fig_time_vs_matches (figure)
# result set: current
# commit:     e9aa9c98a2c7
# host:       a2
# measured:   2026-08-01
# inputs:     sha256:78871f0f4db602c7
# provenance: paper/generated/PROVENANCE.md#fig_time_vs_matches
benchmark	bin	n_reads	matches_median	time_median_us	time_q1_us	time_q3_us
B01	3	2655	139.0	118.16	113.15	124.82
B01	4	9610	176.0	133.53	125.53	143.49
B01	5	1063	289.0	170.33	158.48	185.27
B01	6	377	522.0	202.26	175.04	234.59
B01	7	212	842.0	228.3	197.32	295.12
B01	8	132	1421.0	265.45	229.99	438.22
B01	9	98	2259.0	314.16	251.69	479.6
B01	10	50	3790.0	373.1	255.29	560.17
B01	11	29	6033.0	338.68	252.69	811.69
B01	12	75	10445.0	437.94	313.6	723.1
B01	13	85	18116.0	794.14	523.73	1330.31
B01	14	171	28197.0	930.7	567.44	1512.41
B01	15	217	47346.0	1035.08	792.3	1635.74
B01	16	86	71797.0	2141.16	1252.97	4060.33
B01	17	73	128791.0	1581.12	1464.46	1886.76
B01	fit	15		520.473	0.719	0.7588
B02	0	3084	143.0	123.44	118.22	130.24
B02	1	6841	174.0	138.28	130.83	147.58
B02	2	986	259.0	164.83	156.59	176.42
B02	3	358	399.0	194.58	175.67	211.2
B02	4	213	597.0	209.17	182.77	244.38
B02	5	127	895.0	236.76	206.6	321.24
B02	6	101	1341.0	254.15	207.14	391.36
B02	7	68	1997.0	286.36	202.72	349.97
B02	8	30	2993.0	259.49	207.74	362.93
B02	9	31	4753.0	267.41	239.25	474.35
B02	11	39	10240.0	247.69	232.06	388.09
B02	12	50	14620.0	319.21	284.11	358.57
B02	13	78	24023.0	503.51	425.11	1020.27
B02	14	159	34609.0	644.42	519.37	884.89
B02	15	198	49465.0	794.22	657.25	1000.57
B02	16	51	69990.0	1224.18	1119.29	1578.06
B02	17	72	124348.0	1479.26	1411.17	1625.48
B02	fit	17		333.958	0.6668	0.9592
B03	3	394	61.0	62.18	58.5	66.24
B03	4	16025	91.0	73.89	68.74	79.57
B03	5	4332	130.0	92.02	85.69	100.07
B03	6	922	249.0	129.59	112.24	150.88
B03	7	582	450.0	179.86	135.88	237.88
B03	8	353	790.0	292.23	162.2	398.58
B03	9	227	1342.0	429.08	197.03	607.48
B03	10	136	2311.0	625.06	202.26	828.65
B03	11	89	3934.0	815.14	296.9	1207.09
B03	12	109	7786.0	634.43	253.8	1392.13
B03	13	220	13308.0	773.82	549.06	1275.11
B03	14	256	21399.0	843.72	570.82	1277.34
B03	15	337	40562.0	969.96	704.27	1415.92
B03	16	141	60435.0	1405.94	1118.37	2352.34
B03	17	83	123489.0	1638.52	1484.07	1869.84
B03	fit	15		433.756	0.906	0.7413
B05	1	64	2.0	77.69	72.54	86.9
B05	2	115	5.0	79.08	72.63	86.68
B05	3	172	9.0	81.35	74.75	88.87
B05	4	434	17.0	83.49	76.76	90.4
B05	5	924	31.0	84.79	78.39	91.84
B05	6	2525	57.0	98.95	90.15	107.82
B05	7	3159	92.0	124.06	114.73	133.98
B05	8	420	151.0	146.89	134.73	157.38
B05	9	85	309.0	168.93	147.24	187.28
B05	10	34	582.0	166.79	124.78	206.3
B05	11	30	1052.0	166.76	138.99	256.82
B05	14	33	6315.0	311.35	261.84	456.09
B05	15	33	12982.0	420.91	355.26	630.26
B05	16	37	22138.0	585.83	419.03	1097.03
B05	fit	14		104.658	0.7678	0.9488
