# GENERATED by benchmarks/scripts/ablation.py -- do not edit.
# artifact:   figure_ablation (figure)
# result set: benchmarks/results/ablation/x86_64/current
# commit:     c06411eb69e5  (working tree dirty)
# host:       LAPTOP-6S4BOT55 (8 cores)
# measured:   2026-08-16
# inputs:     sha256:f63de405b3fc3aff
# provenance: paper/generated/ABLATION.md
threads	rung	label	port_changes_row	switch_enabled	still_ablated	wall_s	wall_min_s	wall_max_s	peak_rss_mb	speedup_vs_rung0	rss_ratio_vs_rung0	step_wall_pct	targeted_stage	stage_s_prev_rung	stage_s	step_stage_pct	mapped	paf_sha	s_indexing	s_mapping	s_index_reading	s_index_sketching	s_index_collecting	s_index_finalizing	s_query_mapping	s_sketching	s_prepare	s_seeding	s_match_seeds	s_bucket_merge	s_match_rest	s_refine	s_match_rest_for_best2
1	0	pre-optimization			bucket-array,stream-seeds,refine-memo,packed-sort,parallel-index,parallel-fasta,sketch-loop	15.420	15.030	18.240	362.1	1.000	1.000						25000	1dba79fe54d8add2	0.521	14.717	0.120	0.127	0.253	0.020	13.406	0.861	4.740	4.136	2.520	0.076	5.176	3.798	1.877
1	1	+ read-sized buckets	1	bucket-array	stream-seeds,refine-memo,packed-sort,parallel-index,parallel-fasta,sketch-loop	15.030	14.630	17.440	224.1	1.026	1.616	2.5	bucket_merge	0.076	0.075	1.3	25000	1dba79fe54d8add2	0.468	14.498	0.117	0.115	0.215	0.019	13.072	0.856	4.502	4.027	2.444	0.075	5.119	3.718	1.843
1	2	+ streamed seeds	2	stream-seeds	refine-memo,packed-sort,parallel-index,parallel-fasta,sketch-loop	14.620	14.020	16.640	226.0	1.055	1.602	2.7	match_seeds	2.444	1.992	18.5	25000	1dba79fe54d8add2	0.532	13.987	0.134	0.123	0.233	0.022	12.670	0.855	4.513	3.981	1.992	0.080	5.115	3.773	1.866
1	3	+ refine memo	3	refine-memo	packed-sort,parallel-index,parallel-fasta,sketch-loop	12.640	12.220	14.640	224.1	1.220	1.616	13.5	match_rest	5.115	3.491	31.7	25000	1dba79fe54d8add2	0.518	12.021	0.128	0.125	0.225	0.026	10.759	0.845	4.344	3.836	1.953	0.071	3.491	2.145	0.266
1	4	+ packed sort key	9	packed-sort	parallel-index,parallel-fasta,sketch-loop	12.420	12.020	15.040	224.0	1.242	1.616	1.7	bucket_merge	0.071	0.058	18.3	25000	1dba79fe54d8add2	0.531	11.752	0.120	0.120	0.251	0.024	10.511	0.845	4.270	3.818	1.921	0.058	3.441	2.140	0.262
1	5	+ parallel index	5	parallel-index	parallel-fasta,sketch-loop	12.430	11.820	14.840	224.1	1.241	1.616	-0.1	indexing	0.531	0.498	6.2	25000	1dba79fe54d8add2	0.498	11.850	0.123	0.129	0.230	0.009	10.578	0.841	4.275	3.787	1.910	0.057	3.469	2.152	0.262
1	6	+ parallel FASTA	6	parallel-fasta	sketch-loop	12.620	12.230	19.050	224.0	1.222	1.616	-1.5	index_reading	0.123	0.129	-4.9	25000	1dba79fe54d8add2	0.505	11.877	0.129	0.124	0.234	0.013	10.585	0.852	4.291	3.810	1.911	0.058	3.464	2.143	0.263
1	7	+ sketch loop	7	sketch-loop		12.030	11.020	16.830	224.1	1.282	1.616	4.7	index_sketching	0.124	0.102	17.7	25000	1dba79fe54d8add2	0.481	11.530	0.123	0.102	0.227	0.013	10.285	0.688	4.229	3.763	1.876	0.056	3.398	2.116	0.256
8	0	pre-optimization			bucket-array,stream-seeds,refine-memo,packed-sort,parallel-index,parallel-fasta,sketch-loop	5.250	4.840	8.140	1276.3	1.000	1.000						25000	1dba79fe54d8add2	0.561	4.515	0.139	0.127	0.265	0.019	32.932	1.964	14.065	8.351	5.543	0.161	11.299	8.057	3.983
8	1	+ read-sized buckets	1	bucket-array	stream-seeds,refine-memo,packed-sort,parallel-index,parallel-fasta,sketch-loop	4.630	4.070	8.070	240.3	1.134	5.312	11.8	bucket_merge	0.161	0.150	6.8	25000	1dba79fe54d8add2	0.524	3.973	0.160	0.124	0.219	0.020	28.730	2.008	9.655	8.434	5.550	0.150	11.319	8.182	4.118
