# GENERATED by benchmarks/paper.py -- do not edit.
# artifact:   table_mapper_comparison (table)
# result set: current
# commit:     e9aa9c98a2c7
# host:       a2
# measured:   2026-08-01
# inputs:     sha256:1abb1d51719464e6
# provenance: paper/generated/PROVENANCE.md#table_mapper_comparison
benchmark	tool	metric	threads	mapped	mapq60	missed_pct	wrong_q60	index_s	map_s	peak_rss_gb
B01	shmap-rs	Containment	1	149194	139309	6.78		7.796	34.415	2.58
B01	shmap-rs	Jaccard	1	146120	138421	7.37		7.689	47.518	2.73
B01	shmap-rs	bucket_SH	1	149236	138250	7.49		7.662	25.904	2.64
B01	cpp-shmap	Containment	1	149194	139309	6.78				18.85
B01	cpp-shmap	Jaccard	1	146120	138421	7.37				18.85
B01	cpp-shmap	bucket_SH	1	149236	138250	7.49				18.85
B01	mapquik		32	48913					19.5	19.37
B01	winnowmap2		32	189022					1328.3	9.78
B02	shmap-rs	Containment	1	125000	117532	5.97	0	7.539	25.889	2.56
B02	shmap-rs	Jaccard	1	125000	119065	4.75	6	7.452	40.101	2.66
B02	shmap-rs	bucket_SH	1	125000	116800	6.56	1	7.694	23.356	2.66
B02	cpp-shmap	Containment	1	125000	117532	5.97				18.85
B02	cpp-shmap	Jaccard	1	125000	119065	4.75				18.85
B02	cpp-shmap	bucket_SH	1	125000	116802	6.56				18.85
B02	mapquik		32	39965					19.2	19.38
B02	winnowmap2		32	129488					1006.4	9.4
B03	shmap-rs	Containment	1	241991	227521	6.19		7.623	42.475	2.54
B03	shmap-rs	Jaccard	1	241265	228887	5.63		7.771	55.956	2.6
B03	shmap-rs	bucket_SH	1	242050	226931	6.43		7.277	32.728	2.65
B03	cpp-shmap	Containment	1	241991	227521	6.19				18.85
B03	cpp-shmap	Jaccard	1	241265	228886	5.63				18.85
B03	cpp-shmap	bucket_SH	1	242050	226934	6.43				18.85
B03	mapquik		32	89559					20.9	19.42
B03	winnowmap2		32	280093					997.0	8.04
B04	shmap-rs	Containment	1	2419796	2273122	6.28		7.615	414.147	2.6
B04	shmap-rs	Jaccard	1	2411461	2286085	5.74		7.411	567.977	2.61
B04	shmap-rs	bucket_SH	1	2420331	2267229	6.52		7.76	329.29	2.61
B04	cpp-shmap	Containment	1	2419796	2273121	6.28				18.85
B04	cpp-shmap	Jaccard	1	2411461	2286083	5.74				18.85
B04	cpp-shmap	bucket_SH	1	2420331	2267238	6.52				18.85
B04	mapquik		32	897326					44.8	19.36
B04	winnowmap2		32	2808979					9019.5	8.38
B05	shmap-rs	Containment	1	39608	37839	58.97		7.313	12.465	2.65
B05	shmap-rs	Jaccard	1	5956	5409	94.13		7.391	15.538	2.64
B05	shmap-rs	bucket_SH	1	41115	39226	57.46		7.79	11.688	2.64
B05	cpp-shmap	Containment	1	39608	37839	58.97				18.85
B05	cpp-shmap	Jaccard	1	5956	5409	94.13				18.85
B05	cpp-shmap	bucket_SH	1	41115	39225	57.47				18.85
B05	winnowmap2		32	99107					331.5	6.15
