# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   table_seed_heuristic (table)
# result set: current
# commit:     e9aa9c98a2c7
# host:       a2
# measured:   2026-08-01
# inputs:     sha256:78871f0f4db602c7
# provenance: paper/generated/PROVENANCE.md#table_seed_heuristic
benchmark	metric	possible_per_read	examined_per_read	in_mapping_per_read	realized_potential	unrealized_potential	seeded_buckets_per_read	final_buckets_per_read
B01	Containment	113462.5	2375.8	205.6	47.8	11.6	194.0	2.38
B01	Jaccard	113462.5	2375.8	202.7	47.8	11.7	194.0	2.31
B01	bucket_SH	113462.5	2375.8	207.8	47.8	11.4	194.0	2.28
B02	Containment	113804.5	2906.8	208.6	39.2	13.9	206.2	2.29
B02	Jaccard	113804.5	2906.8	208.4	39.2	13.9	206.2	2.29
B02	bucket_SH	113804.5	2906.8	210.9	39.2	13.8	206.2	2.26
B03	Containment	70178.7	1886.0	117.3	37.2	16.1	251.8	2.35
B03	Jaccard	70178.7	1886.0	117.0	37.2	16.1	251.8	2.34
B03	bucket_SH	70178.7	1886.0	118.7	37.2	15.9	251.8	2.24
B04	Containment	69462.8	1938.0	116.5	35.8	16.6	250.3	2.35
B04	Jaccard	69462.8	1938.0	116.2	35.8	16.7	250.3	2.34
B04	bucket_SH	69462.8	1938.0	117.9	35.8	16.4	250.3	2.25
B05	Containment	67358.3	306.8	51.3	219.6	6.0	84.8	0.99
B05	Jaccard	67358.3	306.8	9.3	219.6	33.1	84.8	0.17
B05	bucket_SH	67358.3	306.8	53.9	219.6	5.7	84.8	1.0
