# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_memory_vs_threads (figure)
# result set: current
# commit:     18d0f83627b5
# host:       a2
# measured:   2026-09-12
# inputs:     sha256:51d37586d0e48420
# provenance: paper/generated/PROVENANCE.md#fig_memory_vs_threads
benchmark	threads	peak_rss_gb
B01	1	2.655
B01	2	1.859
B01	4	1.98
B01	8	2.075
B01	16	2.065
B01	32	2.329
B01	64	2.835
B02	1	2.573
B02	2	1.977
B02	4	1.871
B02	8	1.924
B02	16	2.059
B02	32	2.298
B02	64	2.757
B03	1	2.582
B03	2	1.915
B03	4	2.014
B03	8	2.198
B03	16	2.488
B03	32	3.262
B03	64	4.332
B04	1	2.602
B04	2	1.91
B04	4	1.997
B04	8	2.155
B04	16	2.52
B04	32	7.205
B04	64	9.123
B05	1	2.6
B05	2	1.855
B05	4	1.891
B05	8	2.208
B05	16	2.174
B05	32	2.555
B05	64	3.347
B06	32	17.109
B07	32	17.138
B08	32	17.149
B09	32	17.079
cpp-shmap		18.848
