# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_stage_breakdown (figure)
# result set: current
# commit:     18d0f83627b5
# host:       a2
# measured:   2026-09-12
# inputs:     sha256:fd8e19c8bc8e2dfe
# provenance: paper/generated/PROVENANCE.md#fig_stage_breakdown
benchmark	metric	stage	share_pct	query_mapping_s
B01	Containment	match_seeds	22.47	29.88
B01	Containment	match_rest	35.89	29.88
B01	Containment	prepare	18.49	29.88
B01	Containment	sketching	20.27	29.88
B01	Containment	bucket_merge	2.61	29.88
B01	Jaccard	match_seeds	15.9	43.7
B01	Jaccard	match_rest	55.1	43.7
B01	Jaccard	prepare	12.83	43.7
B01	Jaccard	sketching	14.11	43.7
B01	Jaccard	bucket_merge	1.87	43.7
B01	bucket_SH	match_seeds	29.87	22.55
B01	bucket_SH	match_rest	15.12	22.55
B01	bucket_SH	prepare	24.06	22.55
B01	bucket_SH	sketching	27.14	22.55
B01	bucket_SH	bucket_merge	3.47	22.55
B02	Containment	match_seeds	27.71	23.16
B02	Containment	match_rest	25.55	23.16
B02	Containment	prepare	20.35	23.16
B02	Containment	sketching	23.0	23.16
B02	Containment	bucket_merge	3.08	23.16
B02	Jaccard	match_seeds	17.15	38.58
B02	Jaccard	match_rest	53.98	38.58
B02	Jaccard	prepare	13.0	38.58
B02	Jaccard	sketching	13.81	38.58
B02	Jaccard	bucket_merge	1.87	38.58
B02	bucket_SH	match_seeds	32.19	19.86
B02	bucket_SH	match_rest	13.7	19.86
B02	bucket_SH	prepare	23.4	19.86
B02	bucket_SH	sketching	26.79	19.86
B02	bucket_SH	bucket_merge	3.56	19.86
B03	Containment	match_seeds	31.57	37.52
B03	Containment	match_rest	32.1	37.52
B03	Containment	prepare	16.63	37.52
B03	Containment	sketching	14.75	37.52
B03	Containment	bucket_merge	4.63	37.52
B03	Jaccard	match_seeds	23.78	51.62
B03	Jaccard	match_rest	50.55	51.62
B03	Jaccard	prepare	11.07	51.62
B03	Jaccard	sketching	10.86	51.62
B03	Jaccard	bucket_merge	3.52	51.62
B03	bucket_SH	match_seeds	41.95	27.65
B03	bucket_SH	match_rest	11.64	27.65
B03	bucket_SH	prepare	19.57	27.65
B03	bucket_SH	sketching	20.14	27.65
B03	bucket_SH	bucket_merge	6.28	27.65
B04	Containment	match_seeds	32.84	363.45
B04	Containment	match_rest	31.7	363.45
B04	Containment	prepare	14.87	363.45
B04	Containment	sketching	15.38	363.45
B04	Containment	bucket_merge	4.9	363.45
B04	Jaccard	match_seeds	23.35	515.87
B04	Jaccard	match_rest	51.56	515.87
B04	Jaccard	prepare	10.63	515.87
B04	Jaccard	sketching	10.79	515.87
B04	Jaccard	bucket_merge	3.43	515.87
B04	bucket_SH	match_seeds	42.2	275.32
B04	bucket_SH	match_rest	11.47	275.32
B04	bucket_SH	prepare	19.31	275.32
B04	bucket_SH	sketching	20.25	275.32
B04	bucket_SH	bucket_merge	6.26	275.32
B05	Containment	match_seeds	8.93	12.33
B05	Containment	match_rest	17.95	12.33
B05	Containment	prepare	38.06	12.33
B05	Containment	sketching	32.87	12.33
B05	Containment	bucket_merge	1.7	12.33
B05	Jaccard	match_seeds	7.94	14.02
B05	Jaccard	match_rest	36.27	14.02
B05	Jaccard	prepare	24.37	14.02
B05	Jaccard	sketching	29.5	14.02
B05	Jaccard	bucket_merge	1.56	14.02
B05	bucket_SH	match_seeds	10.84	9.72
B05	bucket_SH	match_rest	10.11	9.72
B05	bucket_SH	prepare	34.76	9.72
B05	bucket_SH	sketching	41.59	9.72
B05	bucket_SH	bucket_merge	2.17	9.72
