# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_thread_scaling (figure)
# result set: current
# commit:     18d0f83627b5
# host:       a2
# measured:   2026-09-12
# inputs:     sha256:51d37586d0e48420
# provenance: paper/generated/PROVENANCE.md#fig_thread_scaling
benchmark	threads	wall_s	speedup_vs_1
B01	1	39.88	1.0
B01	2	26.01	1.53
B01	4	14.4	2.77
B01	8	9.48	4.21
B01	16	6.71	5.94
B01	32	6.52	6.12
B01	64	6.32	6.31
B02	1	32.45	1.0
B02	2	22.37	1.45
B02	4	12.78	2.54
B02	8	8.41	3.86
B02	16	6.52	4.98
B02	32	6.1	5.32
B02	64	6.61	4.91
B03	1	48.89	1.0
B03	2	28.9	1.69
B03	4	16.86	2.9
B03	8	9.85	4.96
B03	16	7.35	6.65
B03	32	6.72	7.28
B03	64	7.15	6.84
B04	1	406.75	1.0
B04	2	227.92	1.78
B04	4	121.22	3.36
B04	8	64.13	6.34
B04	16	35.19	11.56
B04	32	30.16	13.49
B04	64	32.37	12.57
B05	1	21.75	1.0
B05	2	13.86	1.57
B05	4	8.58	2.53
B05	8	5.52	3.94
B05	16	4.66	4.67
B05	32	5.07	4.29
B05	64	6.02	3.61
