# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_time_vs_matches (figure)
# result set: current
# commit:     18d0f83627b5
# host:       a2
# measured:   2026-09-12
# inputs:     sha256:51d37586d0e48420
# provenance: paper/generated/PROVENANCE.md#fig_time_vs_matches
benchmark	bin	n_reads	matches_median	time_median_us	time_q1_us	time_q3_us
B01	3	2655	139.0	112.59	107.44	119.24
B01	4	9610	176.0	127.37	119.31	137.43
B01	5	1063	289.0	162.88	152.29	177.67
B01	6	377	522.0	199.17	175.76	227.95
B01	7	212	842.0	223.71	195.05	287.8
B01	8	132	1421.0	261.76	223.39	413.09
B01	9	98	2259.0	318.48	247.11	477.47
B01	10	50	3790.0	374.65	243.26	569.28
B01	11	29	6033.0	319.49	241.41	827.42
B01	12	75	10445.0	460.48	296.57	762.14
B01	13	85	18116.0	800.27	522.75	1361.52
B01	14	171	28197.0	916.43	558.64	1547.2
B01	15	217	47346.0	999.84	761.58	1623.54
B01	16	86	71797.0	2146.17	1198.31	4074.8
B01	17	73	128791.0	1467.22	1346.99	1748.79
B01	fit	15		506.943	0.7116	0.7186
B02	0	3084	143.0	117.5	113.17	123.38
B02	1	6841	174.0	131.35	124.73	139.82
B02	2	986	259.0	157.88	149.72	167.71
B02	3	358	399.0	188.33	171.7	203.44
B02	4	213	597.0	202.44	179.74	238.18
B02	5	127	895.0	234.49	204.78	317.85
B02	6	101	1341.0	251.67	203.83	370.67
B02	7	68	1997.0	275.93	201.38	332.27
B02	8	30	2993.0	255.99	201.91	364.92
B02	9	31	4753.0	275.28	236.51	496.77
B02	11	39	10240.0	253.71	221.38	377.87
B02	12	50	14620.0	308.48	271.53	353.65
B02	13	78	24023.0	494.18	412.64	1024.67
B02	14	159	34609.0	621.25	498.91	862.0
B02	15	198	49465.0	763.02	631.76	976.85
B02	16	51	69990.0	1201.68	1099.24	1605.34
B02	17	72	124348.0	1408.39	1336.71	1586.66
B02	fit	17		322.737	0.6753	0.9522
B03	3	394	61.0	59.45	56.43	62.91
B03	4	16025	91.0	70.22	65.31	75.36
B03	5	4332	130.0	87.74	81.52	95.43
B03	6	922	249.0	126.93	109.36	147.08
B03	7	582	450.0	177.47	132.21	241.25
B03	8	353	790.0	293.26	161.62	404.01
B03	9	227	1342.0	389.45	197.73	610.4
B03	10	136	2311.0	639.75	213.15	850.15
B03	11	89	3934.0	824.68	298.47	1212.93
B03	12	109	7786.0	647.18	256.54	1406.45
B03	13	220	13308.0	799.94	553.69	1393.6
B03	14	256	21399.0	867.82	569.23	1347.5
B03	15	337	40562.0	968.51	683.25	1438.58
B03	16	141	60435.0	1407.83	1094.15	2430.18
B03	17	83	123489.0	1587.81	1454.06	1839.53
B03	fit	15		433.36	0.9159	0.7145
B05	1	64	2.0	74.42	68.73	81.22
B05	2	115	5.0	74.64	68.64	82.6
B05	3	172	9.0	76.38	70.11	83.63
B05	4	434	17.0	79.52	72.33	85.62
B05	5	924	31.0	80.47	74.35	86.88
B05	6	2525	57.0	94.24	85.38	103.64
B05	7	3159	92.0	120.49	111.34	130.53
B05	8	420	151.0	144.39	132.86	155.66
B05	9	85	309.0	168.46	152.87	188.46
B05	10	34	582.0	166.54	124.28	208.11
B05	11	30	1052.0	163.2	136.49	255.14
B05	14	33	6315.0	319.71	263.42	452.0
B05	15	33	12982.0	403.63	336.92	597.29
B05	16	37	22138.0	541.21	403.89	1087.84
B05	fit	14		100.484	0.798	0.9253
