# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_wall_vs_threads (figure)
# result set: current
# commit:     18d0f83627b5
# host:       a2
# measured:   2026-09-12
# inputs:     sha256:51d37586d0e48420
# provenance: paper/generated/PROVENANCE.md#fig_wall_vs_threads
benchmark	threads	wall_s
B01	1	39.88
B01	2	26.01
B01	4	14.4
B01	8	9.48
B01	16	6.71
B01	32	6.52
B01	64	6.32
B02	1	32.45
B02	2	22.37
B02	4	12.78
B02	8	8.41
B02	16	6.52
B02	32	6.1
B02	64	6.61
B03	1	48.89
B03	2	28.9
B03	4	16.86
B03	8	9.85
B03	16	7.35
B03	32	6.72
B03	64	7.15
B04	1	406.75
B04	2	227.92
B04	4	121.22
B04	8	64.13
B04	16	35.19
B04	32	30.16
B04	64	32.37
B05	1	21.75
B05	2	13.86
B05	4	8.58
B05	8	5.52
B05	16	4.66
B05	32	5.07
B05	64	6.02
B06	32	675.02
B07	32	1319.25
B08	32	2303.95
B09	32	336.3
cpp-shmap:B01		109.32
cpp-shmap:B02		83.87
cpp-shmap:B03		121.55
cpp-shmap:B04		890.65
cpp-shmap:B05		57.25
