# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   table_mapper_comparison (table)
# result set: current
# commit:     18d0f83627b5
# host:       a2
# measured:   2026-09-12
# inputs:     sha256:51d37586d0e48420
# provenance: paper/generated/PROVENANCE.md#table_mapper_comparison
benchmark	tool	metric	threads	mapped	mapq60	missed_pct	wrong_q60	index_s	map_s	peak_rss_gb
B01	shmap-rs	Containment	1	149194	139309	6.78		7.071	32.32	2.65
B01	shmap-rs	Jaccard	1	146120	138421	7.37		7.027	45.909	2.62
B01	shmap-rs	bucket_SH	1	149236	138250	7.49		7.091	25.075	2.65
B01	cpp-shmap	Containment	1	149194	139309	6.78		34.91	74.41	18.85
B01	cpp-shmap	Jaccard	1	146120	138421	7.37		35.61	101.16	18.85
B01	cpp-shmap	bucket_SH	1	149236	138250	7.49		35.73	57.82	18.85
B01	mapquik		32	148225					18.0	18.14
B01	winnowmap2		32	189022					1328.3	9.78
B02	shmap-rs	Containment	1	125000	117532	5.97	0	7.044	25.067	2.57
B02	shmap-rs	Jaccard	1	125000	119065	4.75	6	6.974	40.452	2.62
B02	shmap-rs	bucket_SH	1	125000	116800	6.56	1	7.056	21.781	2.6
B02	cpp-shmap	Containment	1	125000	117532	5.97		31.16	52.73	18.85
B02	cpp-shmap	Jaccard	1	125000	119065	4.75		31.11	79.69	18.85
B02	cpp-shmap	bucket_SH	1	125000	116802	6.56		31.05	46.44	18.85
B02	mapquik		32	124221					19.4	18.09
B02	winnowmap2		32	129488					1006.4	9.4
B03	shmap-rs	Containment	1	241988	227521	6.19		7.086	41.391	2.58
B03	shmap-rs	Jaccard	1	241262	228887	5.63		7.03	55.142	2.65
B03	shmap-rs	bucket_SH	1	242047	226931	6.43		7.105	31.562	2.62
B03	cpp-shmap	Containment	1	241991	227521	6.19		36.93	84.54	18.85
B03	cpp-shmap	Jaccard	1	241265	228886	5.63		36.1	113.22	18.85
B03	cpp-shmap	bucket_SH	1	242050	226934	6.43		36.25	65.61	18.85
B03	mapquik		32	239539					18.1	18.17
B03	winnowmap2		32	280093					997.0	8.04
B04	shmap-rs	Containment	1	2419767	2273103	6.28		7.061	399.358	2.6
B04	shmap-rs	Jaccard	1	2411433	2286067	5.74		6.947	551.594	2.67
B04	shmap-rs	bucket_SH	1	2420302	2267208	6.52		7.039	315.627	2.65
B04	cpp-shmap	Containment	1	2419796	2273121	6.28		37.79	852.89	18.85
B04	cpp-shmap	Jaccard	1	2411461	2286083	5.74		34.27	1125.6	18.85
B04	cpp-shmap	bucket_SH	1	2420331	2267238	6.52		35.77	657.25	18.85
B04	mapquik		32	2394360					43.9	18.11
B04	winnowmap2		32	2808979					9019.5	8.38
B05	shmap-rs	Containment	1	39608	37839	58.97		7.099	14.121	2.6
B05	shmap-rs	Jaccard	1	5956	5409	94.13		7.024	15.128	2.57
B05	shmap-rs	bucket_SH	1	41115	39226	57.46		7.083	11.078	2.62
B05	cpp-shmap	Containment	1	39608	37839	58.97		31.14	26.11	18.85
B05	cpp-shmap	Jaccard	1	5956	5409	94.13		31.09	30.02	18.85
B05	cpp-shmap	bucket_SH	1	41115	39225	57.47		31.12	24.06	18.85
B05	winnowmap2		32	99107					331.5	6.15
B06	bwa-mem2		32	41807925					534.5	35.74
B07	bwa-mem2		32	83600076					1028.8	35.72
B08	bwa-mem2		32	146287615					1722.0	35.86
