dataset,threads,wall_s,speedup,indexing_s,mapping_s,mapping_speedup,rss_gb
w24k,1,39.43,1.00,9.2,30.3,1.00,2.18
w24k,2,25.65,1.54,8.0,17.6,1.72,1.78
w24k,4,16.22,2.43,5.0,11.2,2.70,1.84
w24k,8,10.02,3.94,3.5,6.5,4.67,2.02
w24k,16,7.38,5.34,3.5,3.9,7.83,2.05
w24k,32,7.62,5.17,3.8,3.8,7.98,2.28
w24k,64,7.1,5.55,3.2,3.9,7.69,2.36
hifi1x,1,54.59,1.00,9.5,45.1,1.00,1.99
hifi1x,2,32.44,1.68,7.6,24.8,1.82,1.86
hifi1x,4,21.02,2.60,5.2,15.8,2.85,1.98
hifi1x,8,12.23,4.46,3.5,8.7,5.19,2.26
hifi1x,16,9.39,5.81,3.5,5.9,7.60,2.93
hifi1x,32,9.47,5.76,3.6,5.8,7.73,3.55
hifi1x,64,9.73,5.61,3.6,6.2,7.31,4.16
hifi10x,1,440.27,1.00,9.6,430.6,1.00,1.94
hifi10x,2,254.6,1.73,7.3,247.3,1.74,1.92
hifi10x,4,137.15,3.21,4.6,132.6,3.25,1.99
hifi10x,8,73.89,5.96,3.6,70.3,6.12,2.30
hifi10x,16,42.41,10.38,2.9,39.5,10.90,4.42
hifi10x,32,41.34,10.65,3.7,37.7,11.43,6.88
hifi10x,64,42.07,10.47,3.4,38.7,11.14,9.56
