depth,threads,wall_s,speedup,indexing_s,mapping_s,mapping_speedup,rss_gb
1x,1,53.69,1.00,9.3,44.4,1.00,1.96
1x,2,33.07,1.62,10.0,23.1,1.92,2.07
1x,4,24.74,2.17,9.3,15.5,2.87,2.03
1x,8,19.13,2.81,10.2,9.0,4.94,2.07
1x,16,15.11,3.55,9.2,5.9,7.53,2.56
1x,32,16.59,3.24,10.4,6.1,7.22,3.16
1x,64,15.54,3.45,9.4,6.1,7.23,3.80
10x,1,434.36,1.00,11.7,422.7,1.00,1.96
10x,2,228.08,1.90,9.2,218.9,1.93,2.05
10x,4,140.22,3.10,9.2,131.0,3.23,2.03
10x,8,78.95,5.50,10.3,68.7,6.15,2.13
10x,16,49.18,8.83,10.0,39.1,10.80,4.16
10x,32,47.17,9.21,9.5,37.6,11.23,7.30
10x,64,48.4,8.97,9.4,39.0,10.84,7.32
